#{"t_start": 1752147323.3922827, "env_id": "None"}
r,l,t
-174.70258,56,113.176273
-477.9458,59,113.282049
-206.88211,46,113.721261
-261.516,38,113.861518
-195.18927,34,114.06933
-238.76006,40,114.276047
-707.3207,78,114.276368
92.83249,33,114.450404
19.597378,37,114.483877
856.78033,100,114.618263
1409.1,100,114.865415
-101.015564,33,114.901607
-993.5177,100,115.399801
-50.820206,37,115.565699
-163.6466,44,115.827239
-209.14923,36,115.90096
-121.05449,33,116.078939
-48.65831,33,116.68571
-535.1185,60,116.686181
-163.67393,64,116.791254
-39.25526,37,116.964902
-40.597656,33,117.133793
-175.87915,38,117.236821
-493.53622,69,117.378649
833.43463,100,117.471891
246.31001,100,117.673537
-104.64677,34,117.873122
-486.64484,55,118.122906
-93.94444,34,118.804371
-327.6556,44,118.843134
-172.0036,38,119.194043
-162.44948,34,119.527005
-231.54802,36,120.312434
234.61328,100,120.63102
-1018.14197,92,120.631137
1241.0488,100,120.751683
541.3483,100,121.260911
656.4745,100,121.408884
-568.6843,70,121.678377
-78.93735,33,121.906754
-312.29007,41,121.907077
89.18091,100,121.940789
-272.95956,38,122.07467
-770.4496,84,122.494139
-60.977566,33,123.058542
-92.21585,33,123.201087
-93.11103,100,123.308202
-22.108976,33,123.629881
-507.5016,67,124.345724
-60.21098,33,124.34621
-545.1459,69,124.414617
955.0823,100,124.46212
825.7424,100,124.907781
-832.6826,90,124.944202
-427.7593,49,125.053535
863.4604,100,125.053896
-253.78937,57,125.467739
-227.24084,38,125.701557
-221.61205,35,126.286971
-7.3353806,38,126.38376
-224.38124,55,126.423511
-178.60928,34,126.800596
-138.2539,62,126.800701
38.04525,33,127.024475
-578.8395,72,127.137662
786.58545,100,127.471613
44.79924,33,127.6281
544.1356,69,127.710989
-424.21793,69,127.711318
-252.52887,38,127.747669
118.19264,33,128.317183
-169.83098,47,128.707282
-78.12604,33,128.88794
-210.20062,36,128.968779
837.23975,85,129.487329
-83.323784,34,129.521263
-510.85132,85,129.850721
-56.434418,33,129.889587
162.18011,33,130.139534
1080.9005,100,130.412265
-257.09924,48,130.620714
111.30351,33,130.688452
-174.05121,36,130.823488
770.1309,100,131.031852
691.19763,100,131.175041
-500.64746,100,131.244179
182.33089,33,131.594334
-406.6151,53,131.805172
-255.72716,44,132.27648
-210.05753,34,132.344146
-272.33063,40,132.344469
-215.57161,35,132.958108
-408.4277,61,132.991182
-572.6703,80,133.123854
-504.6956,55,133.333458
-307.74527,58,133.373172
-90.29882,33,133.542167
148.90875,100,133.660087
-189.24028,37,133.798348
-160.38156,35,134.59356
-273.95068,40,135.033236
-380.94836,46,135.336863
-410.40045,63,135.403771
-734.834,83,135.55024
1026.1642,100,135.680029
25.12117,36,135.916306
-171.64244,58,135.916632
-68.436676,33,136.526914
